,n,beta,bleu 1,bleu 2,bleu 3,bleu 4
41,15,1.0,0.8373205741621071,0.7191573862961038,0.6074346625601805,0.5045906767420294
42,20,0.0,0.2417449257799934,0.081698504769926,0.024970088811616845,1.5286771040832255e-06
43,20,0.05,0.6741102581991109,0.4692012401195267,0.3183211488834042,0.21572313577982113
44,20,0.1,0.7820334261832994,0.625313291951599,0.4999284719886718,0.3994943938668602
45,20,0.15000000000000002,0.8116343490299088,0.6826647495097063,0.5676471008780863,0.46723693140691386
46,20,0.2,0.8154269972446175,0.6926302191634328,0.579782917251456,0.48047386736316827
47,20,0.25,0.8107734806624235,0.6912627247489419,0.578034983598991,0.4776623679161217
48,20,0.30000000000000004,0.8196948682379891,0.7034644461196601,0.5891873311598618,0.4870827997562945
49,20,0.35000000000000003,0.8296089385469066,0.712734082717237,0.6023457672670313,0.5009600966758727
50,20,0.4,0.8318276580953219,0.7153635590528058,0.6058684911067541,0.5031481931339248
51,20,0.45,0.8317107093179196,0.7164927159711932,0.60790663004442,0.505867228818961
52,20,0.5,0.8314763231191982,0.7169486040430157,0.6093346942297382,0.5070150176176733
53,20,0.55,0.8358725761767065,0.7202125301716228,0.610971710972003,0.5078889100878821
54,20,0.6000000000000001,0.8351800554010836,0.718118820308384,0.6081663398117266,0.5048247777660212
55,20,0.65,0.8356449375861057,0.7188744131820589,0.6089479385826733,0.5055657907582778
56,20,0.7000000000000001,0.8356449375861057,0.7188744131820589,0.6089479385826733,0.5055657907582778
57,20,0.75,0.8358725761767065,0.7193150687262284,0.6092479812662327,0.5054980122920826
58,20,0.8,0.8353994490352373,0.7182400602838013,0.6076332051491611,0.5034828336117415
59,20,0.8500000000000001,0.8339052848312739,0.7157779934971121,0.6037538380204968,0.49913399040023787
60,20,0.9,0.8337912087906362,0.7146642552467631,0.6020849140080957,0.4973430931570215
61,20,0.9500000000000001,0.8364134154682844,0.717539669943291,0.605261717491347,0.5017577349777632
62,20,1.0,0.8373205741621071,0.7191573862961038,0.6074346625601805,0.5045906767420294
63,25,0.0,0.21721422753184436,0.07013217516490199,0.016338717289951576,1.0777351376778895e-06
64,25,0.05,0.658465414075524,0.45323017157635914,0.30565814312238165,0.20743169407841353
65,25,0.1,0.7723802914637249,0.6202374095136302,0.49603571450921413,0.39566675897414394
66,25,0.15000000000000002,0.8045580110491681,0.6726710939729379,0.5559683182794984,0.4536685512035872
67,25,0.2,0.8130584192434275,0.6899256622188542,0.5761207687374829,0.47564365005268505
68,25,0.25,0.8107734806624235,0.6912627247489419,0.578034983598991,0.4776623679161217
69,25,0.30000000000000004,0.8196948682379891,0.7034644461196601,0.5891873311598618,0.4870827997562945
70,25,0.35000000000000003,0.8296089385469066,0.712734082717237,0.6023457672670313,0.5009600966758727
71,25,0.4,0.8318276580953219,0.7153635590528058,0.6058684911067541,0.5031481931339248
72,25,0.45,0.8317107093179196,0.7164927159711932,0.60790663004442,0.505867228818961
73,25,0.5,0.8314763231191982,0.7169486040430157,0.6093346942297382,0.5070150176176733
74,25,0.55,0.8358725761767065,0.7202125301716228,0.610971710972003,0.5078889100878821
75,25,0.6000000000000001,0.8351800554010836,0.718118820308384,0.6081663398117266,0.5048247777660212
76,25,0.65,0.8356449375861057,0.7188744131820589,0.6089479385826733,0.5055657907582778
77,25,0.7000000000000001,0.8356449375861057,0.7188744131820589,0.6089479385826733,0.5055657907582778
78,25,0.75,0.8358725761767065,0.7193150687262284,0.6092479812662327,0.5054980122920826
79,25,0.8,0.8353994490352373,0.7182400602838013,0.6076332051491611,0.5034828336117415
80,25,0.8500000000000001,0.8339052848312739,0.7157779934971121,0.6037538380204968,0.49913399040023787
81,25,0.9,0.8337912087906362,0.7146642552467631,0.6020849140080957,0.4973430931570215
82,25,0.9500000000000001,0.8364134154682844,0.717539669943291,0.605261717491347,0.5017577349777632
83,25,1.0,0.8373205741621071,0.7191573862961038,0.6074346625601805,0.5045906767420294
84,30,0.0,0.21592479955758476,0.0650771909032759,0.017220960555509812,1.1268886719097412e-06
85,30,0.05,0.6692483757423149,0.46017106632789256,0.30954010568914336,0.2068684758070121
86,30,0.1,0.772442588725976,0.619774664407952,0.49453465798174034,0.39366996317037006
87,30,0.15000000000000002,0.8015161957265324,0.6710829289451739,0.5546101960261247,0.4524974587084631
88,30,0.2,0.8130584192434275,0.6899256622188542,0.5761207687374829,0.47564365005268505
89,30,0.25,0.8107734806624235,0.6912627247489419,0.578034983598991,0.4776623679161217
90,30,0.30000000000000004,0.8196948682379891,0.7034644461196601,0.5891873311598618,0.4870827997562945
91,30,0.35000000000000003,0.8296089385469066,0.712734082717237,0.6023457672670313,0.5009600966758727
92,30,0.4,0.8318276580953219,0.7153635590528058,0.6058684911067541,0.5031481931339248
93,30,0.45,0.8317107093179196,0.7164927159711932,0.60790663004442,0.505867228818961
94,30,0.5,0.8314763231191982,0.7169486040430157,0.6093346942297382,0.5070150176176733
95,30,0.55,0.8358725761767065,0.7202125301716228,0.610971710972003,0.5078889100878821
96,30,0.6000000000000001,0.8351800554010836,0.718118820308384,0.6081663398117266,0.5048247777660212
97,30,0.65,0.8356449375861057,0.7188744131820589,0.6089479385826733,0.5055657907582778
98,30,0.7000000000000001,0.8356449375861057,0.7188744131820589,0.6089479385826733,0.5055657907582778
99,30,0.75,0.8358725761767065,0.7193150687262284,0.6092479812662327,0.5054980122920826
100,30,0.8,0.8353994490352373,0.7182400602838013,0.6076332051491611,0.5034828336117415
101,30,0.8500000000000001,0.8339052848312739,0.7157779934971121,0.6037538380204968,0.49913399040023787
102,30,0.9,0.8337912087906362,0.7146642552467631,0.6020849140080957,0.4973430931570215
103,30,0.9500000000000001,0.8364134154682844,0.717539669943291,0.605261717491347,0.5017577349777632
104,30,1.0,0.8373205741621071,0.7191573862961038,0.6074346625601805,0.5045906767420294
105,35,0.0,0.20704490454417665,0.06187724473098209,0.013083711013816257,9.097969512620228e-07
106,35,0.05,0.6470999301183459,0.44442603273905046,0.30025438448720854,0.2008689315582969
107,35,0.1,0.767057201929175,0.6123557292490874,0.48675658606703087,0.38515336787143206
